SampleID,S884 ,S865 ,S847 ,S578 ,S573 ,S402 ,S339 ,S329 ,S2971 ,S2967 ,S2927 ,S2883 ,S2846 ,S2817 ,S2726 ,S2680 ,S2663 ,S2632 ,S2627 ,S2608 ,S2601 ,S2600 ,S2593 ,S2527 ,S2468 ,S2452 ,S2429 ,S2345 ,S2289 ,S2270 ,S2269 ,S2221 ,S2216 ,S2148 ,S2146 ,S201 ,S1972 ,S1969 ,S1922 ,S1914 ,S179 ,S1708 ,S1531 ,S134 ,S117 
S2216 ,0.34927479,0.410105799,0.152786296,0.599886271,0.255812633,0.217763929,0.198706857,0.211981248,0.135734279,0.343041236,0.570687106,0.311852031,0.654201324,0.844140155,0.682538411,0.245263342,0.220609005,0.43114741,0.259258656,0.253140173,0.716505051,0.737043235,0.630244702,0.321647694,0.152004409,0.344627569,0.205557814,0.222273655,0.72356612,0.338610397,0.247576963,0.245950872,0,0.388486049,0.19777705,0.26578695,0.295217143,0.370304064,0.381575721,0.198417178,0.327892458,0.234149611,0.542211168,0.332639981,0.365293303
S2148 ,0.244598538,0.305883877,0.371404124,0.424368436,0.320432221,0.302787476,0.274958959,0.311874377,0.356130809,0.199467883,0.401843961,0.248328975,0.41756169,0.723221187,0.436317484,0.275078675,0.318837897,0.249910042,0.245848843,0.337389558,0.605401449,0.564301278,0.477697112,0.240625678,0.363816125,0.262732359,0.327619435,0.349771557,0.571180365,0.213892698,0.268209364,0.308588335,0.388486049,0,0.354273421,0.25156242,0.332200407,0.323020533,0.30339335,0.351945592,0.258584986,0.306354139,0.406247698,0.233330496,0.228350618
S2146 ,0.314914027,0.409593386,0.129563052,0.555416369,0.267877372,0.133587849,0.223001044,0.136791413,0.15892814,0.326146995,0.516372721,0.284290041,0.590933714,0.782409127,0.628583228,0.231460036,0.21970359,0.414062279,0.257598268,0.199282624,0.702264072,0.683613891,0.556737826,0.23734554,0.143722411,0.317593879,0.198915814,0.230524502,0.674810782,0.288646085,0.224329724,0.260252564,0.19777705,0.354273421,0,0.216518541,0.29033,0.363912699,0.338187102,0.131726232,0.286768924,0.256345396,0.492389418,0.297652413,0.311656512
S201 ,0.216181354,0.279895614,0.225698265,0.427269887,0.319301737,0.144608074,0.263682997,0.167508415,0.22457485,0.258750398,0.386071317,0.228630801,0.499879725,0.746945291,0.500147613,0.16015223,0.223372792,0.335931709,0.190137725,0.213980365,0.659423203,0.594206358,0.484969498,0.184777505,0.21345321,0.233306658,0.20039527,0.309413086,0.595529488,0.255814033,0.134038977,0.232223753,0.26578695,0.25156242,0.216518541,0,0.362449846,0.276390422,0.294664945,0.236837422,0.199499957,0.245863924,0.415379327,0.166283774,0.22353723
S1972 ,0.459179554,0.51433422,0.244839538,0.644176254,0.089857503,0.305110318,0.174615696,0.310257589,0.27107234,0.402941185,0.618957699,0.42878417,0.608077898,0.884958864,0.63624046,0.3922708,0.355482565,0.445416802,0.363688483,0.393537339,0.773433903,0.792959589,0.686637628,0.422360622,0.270549772,0.473175021,0.350865356,0.193245403,0.771572806,0.19884259,0.371528006,0.413867291,0.295217143,0.332200407,0.29033,0.362449846,0,0.457162602,0.499478757,0.309460982,0.4336363,0.303300858,0.616827314,0.434443683,0.45306566
S1969 ,0.304804617,0.352966364,0.372380491,0.544937911,0.443220177,0.312498346,0.392304337,0.317978011,0.351650197,0.316095567,0.502064411,0.274743772,0.55143134,0.781110854,0.550939205,0.286583399,0.340597869,0.366757199,0.305088827,0.331709986,0.472927706,0.687410844,0.578439548,0.29203012,0.37594847,0.330743413,0.324887767,0.431642087,0.655382804,0.355991851,0.307367111,0.346195491,0.370304064,0.323020533,0.363912699,0.276390422,0.457162602,0,0.360902747,0.338805559,0.315201167,0.291385941,0.496034559,0.292624538,0.327287097
S1922 ,0.182287214,0.261926174,0.383398158,0.422145035,0.482087673,0.310435776,0.400378726,0.314250708,0.370201668,0.239702928,0.393668258,0.262761912,0.446320949,0.706693695,0.49392873,0.275532408,0.335387331,0.286280886,0.261178221,0.280291663,0.60240755,0.520217117,0.439095567,0.243809706,0.374606648,0.206157399,0.302019487,0.468025727,0.533961818,0.39128152,0.269535175,0.329199338,0.381575721,0.30339335,0.338187102,0.294664945,0.499478757,0.360902747,0,0.34376913,0.283493765,0.349126535,0.362594143,0.25580147,0.202890159
S1914 ,0.31629264,0.396684315,0.164829358,0.561500615,0.287485171,0.159879105,0.248446268,0.148104824,0.140246572,0.295432119,0.52270307,0.255209595,0.574408134,0.779152643,0.624915672,0.242908444,0.20706942,0.382283603,0.253383626,0.185117633,0.664317828,0.673723872,0.571044273,0.266043926,0.148749194,0.313720116,0.162490185,0.276755503,0.672617486,0.286556888,0.217466193,0.266127515,0.198417178,0.351945592,0.131726232,0.236837422,0.309460982,0.338805559,0.34376913,0,0.285344213,0.198099149,0.488005173,0.300443089,0.318759088
S179 ,0.172747887,0.300880268,0.293960632,0.447168348,0.390700329,0.255898015,0.30540909,0.225683189,0.292895837,0.247641544,0.369314822,0.235021016,0.415877851,0.6312819,0.513209571,0.170787824,0.232478114,0.303930007,0.239994053,0.281900129,0.617059507,0.536048799,0.432561591,0.185728751,0.279739243,0.252454941,0.2528966,0.381050699,0.53753905,0.316664171,0.179618865,0.223436652,0.327892458,0.258584986,0.286768924,0.199499957,0.4336363,0.315201167,0.283493765,0.285344213,0,0.302786506,0.341797467,0.165333768,0.191981269
S1708 ,0.317738815,0.390045149,0.236318346,0.541763917,0.282203575,0.216968362,0.239194572,0.205319801,0.189113233,0.262230727,0.520679653,0.228785226,0.564178202,0.808032339,0.580823389,0.262631868,0.215788084,0.342965658,0.186041331,0.229580197,0.643304826,0.680082967,0.605131567,0.294950098,0.237285374,0.332703842,0.144735999,0.275101196,0.680857209,0.265718707,0.240103294,0.294832003,0.234149611,0.306354139,0.256345396,0.245863924,0.303300858,0.291385941,0.349126535,0.198099149,0.302786506,0,0.501245437,0.300715513,0.345345208
S1531 ,0.335155587,0.329105666,0.523475308,0.266665482,0.588838185,0.468577207,0.524093317,0.422715666,0.512641936,0.423492116,0.261277282,0.419798566,0.314653845,0.595344066,0.286148993,0.380933853,0.470193677,0.345323955,0.447744646,0.486094173,0.549635724,0.409509625,0.215111662,0.344638345,0.520657572,0.368526538,0.469577069,0.60057448,0.357504624,0.503496401,0.415944526,0.413076333,0.542211168,0.406247698,0.492389418,0.415379327,0.616827314,0.496034559,0.362594143,0.488005173,0.341797467,0.501245437,0,0.372143377,0.289332274
S134 ,0.170837762,0.229639013,0.290615409,0.385244052,0.400354769,0.234752017,0.317127388,0.240355529,0.292422137,0.248908232,0.336563326,0.2340544,0.469426987,0.706060139,0.475450285,0.198435429,0.256645884,0.300363604,0.251949629,0.281805014,0.640553336,0.552241268,0.462595226,0.168819463,0.302313006,0.193875575,0.274915958,0.39292833,0.565097993,0.325673553,0.181988518,0.247654701,0.332639981,0.233330496,0.297652413,0.166283774,0.434443683,0.292624538,0.25580147,0.300443089,0.165333768,0.300715513,0.372143377,0,0.19693771
S117 ,0.182408118,0.264362837,0.333164413,0.390928151,0.421425451,0.279303696,0.356873447,0.26133498,0.32122967,0.244950502,0.342224973,0.233654304,0.394520709,0.683325636,0.427288159,0.23066388,0.303172787,0.264940932,0.26750847,0.292495792,0.593643084,0.526815663,0.389812248,0.181276612,0.316446805,0.214830454,0.281660404,0.422749918,0.521076132,0.327170989,0.235842791,0.283575541,0.365293303,0.228350618,0.311656512,0.22353723,0.45306566,0.327287097,0.202890159,0.318759088,0.191981269,0.345345208,0.289332274,0.19693771,0
